"genus","address","health","height","landmark","location"
"Oak","1138 Fair Oaks Pkwy","2 - Neutral","3 - Tall","Yes","Street"
"Honey","1021 W Huron St","2 - Neutral","2 - Medium","No","Street"
"Honey","2265 Tilsby Ct","2 - Neutral","3 - Tall","No","Street"
"Pine","Leslie Science Center","3 - Bad","2 - Medium","No","Park"
"Oak","3840 Penberton Ct","1 - Good","2 - Medium","No","Street"
"Spruce","531 Allison Dr","1 - Good","2 - Medium","No","Street"
"Maple","Wheeler Park","2 - Neutral","2 - Medium","No","Park"
"Honey","Southeast Area Park","1 - Good","2 - Medium","No","Park"
"Honey","812 Miller Ave","2 - Neutral","2 - Medium","No","Street"
"Maple","Gallup Park","1 - Good","2 - Medium","No","Park"
"Spruce","Gallup Park","1 - Good","2 - Medium","No","Park"
"Spruce","341 Riverview Dr","2 - Neutral","2 - Medium","No","Trail"
"Honey","2650 Esch Ave","1 - Good","2 - Medium","No","Street"
"Oak","3091 Wolverhampton Ln","1 - Good","2 - Medium","No","Street"
"Honey","1602 Cherokee Rd","1 - Good","3 - Tall","Yes","Street"
"Pine","Dicken Park","2 - Neutral","2 - Medium","No","Park"
"Maple","Mary Beth Doyle Park","2 - Neutral","1 - Short","No","Park"
"Spruce","1867 Victoria Ave","1 - Good","3 - Tall","No","Trail"
"Oak","Sylvan Park","1 - Good","3 - Tall","Yes","Park"
"Oak","Cranbrook Park","2 - Neutral","1 - Short","No","Park"
"Oak","Gallup Park","2 - Neutral","3 - Tall","No","Park"
"Pine","Mushroom Park","2 - Neutral","2 - Medium","No","Park"
"Spruce","2630 Traver Blvd","1 - Good","1 - Short","No","Street"
"Honey","350 S Main St","1 - Good","2 - Medium","No","Street"
"Maple","2340 Pinecrest Ave","2 - Neutral","3 - Tall","Yes","Street"
"Maple","2420 Placid Way","2 - Neutral","2 - Medium","Yes","Street"
"Maple","3306 Alton Ct","2 - Neutral","2 - Medium","No","Street"
"Oak","2764 Haverhill Ct","1 - Good","1 - Short","No","Street"
"Spruce","Placid Way Park","1 - Good","2 - Medium","No","Park"
"Maple","1004 Miner St","2 - Neutral","2 - Medium","No","Street"
"Honey","251 E Liberty St","2 - Neutral","2 - Medium","No","Street"
"Spruce","Southeast Area Park","1 - Good","1 - Short","No","Park"
"Honey","Veterans Memorial Park","2 - Neutral","2 - Medium","No","Park"
"Maple","2000 Commonwealth Blvd","1 - Good","2 - Medium","No","Street"
"Maple","940 Raymond St","1 - Good","1 - Short","No","Street"
"Honey","Buhr Park","1 - Good","2 - Medium","No","Park"
"Maple","3020 Birch Hollow Dr","2 - Neutral","2 - Medium","No","Trail"
"Oak","Southeast Area Park","2 - Neutral","1 - Short","No","Park"
"Maple","Leslie Park","3 - Bad","2 - Medium","No","Park"
"Oak","2624 Packard Rd","1 - Good","2 - Medium","Yes","Street"
"Maple","708 N Fifth Ave","2 - Neutral","1 - Short","No","Street"
"Oak","120 W Huron St","1 - Good","1 - Short","No","Street"
"Maple","Churchill Downs Park","3 - Bad","2 - Medium","No","Park"
"Oak","Hollywood Park","2 - Neutral","3 - Tall","Yes","Park"
"Spruce","Clinton Park","3 - Bad","2 - Medium","No","Park"
"Oak","Mary Beth Doyle Park","2 - Neutral","1 - Short","No","Park"
"Pine","Fuller Park","2 - Neutral","1 - Short","No","Park"
"Maple","2808 Brockman Blvd","2 - Neutral","1 - Short","No","Street"
"Spruce","581 Huntington Dr","1 - Good","2 - Medium","No","Street"
"Honey","1700 W Stadium Blvd","2 - Neutral","2 - Medium","No","Street"
"Oak","2011 Long Shore Dr","1 - Good","3 - Tall","Yes","Trail"
"Maple","Gallup Park","1 - Good","2 - Medium","No","Park"
"Spruce","920 Miner St","2 - Neutral","1 - Short","No","Trail"
"Maple","2228 Placid Way","2 - Neutral","2 - Medium","No","Street"
"Maple","225 High Orchard Dr","2 - Neutral","2 - Medium","No","Street"
"Maple","1650 S State St","2 - Neutral","2 - Medium","No","Street"
"Maple","Bandemer Park","2 - Neutral","1 - Short","No","Park"
"Spruce","606 Robin Rd","2 - Neutral","2 - Medium","No","Trail"
"Oak","1000 E Oakbrook Dr","2 - Neutral","1 - Short","No","Street"
"Spruce","Malletts Creek Nature Ar*","1 - Good","2 - Medium","No","Park"
"Maple","2300 Traverwood Dr","1 - Good","1 - Short","No","Street"
"Maple","1311 Beechwood Dr","2 - Neutral","3 - Tall","Yes","Street"
"Maple","2010 Yeoman Ct","2 - Neutral","2 - Medium","No","Street"
"Pine","2950 Easy St","1 - Good","2 - Medium","Yes","Trail"
"Maple","Clinton Park","1 - Good","1 - Short","No","Park"
"Maple","2980 Devonshire Rd","2 - Neutral","2 - Medium","No","Street"
"Oak","1300 S Maple Rd","2 - Neutral","2 - Medium","No","Street"
"Honey","3050 Washtenaw Ave","1 - Good","2 - Medium","No","Trail"
"Oak","75 Scio Church Rd","2 - Neutral","3 - Tall","Yes","Trail"
"Oak","120 W Huron St","1 - Good","1 - Short","No","Street"
"Oak","Kuebler Langford","2 - Neutral","1 - Short","No","Park"
"Pine","2302 Nixon Rd","2 - Neutral","2 - Medium","No","Street"
"Oak","Gallup Park","2 - Neutral","1 - Short","No","Park"
"Maple","1601 Cambridge Rd","2 - Neutral","2 - Medium","No","Street"
"Spruce","Sugarbush Park","2 - Neutral","1 - Short","No","Park"
"Spruce","1954 Independence Blvd","2 - Neutral","2 - Medium","No","Street"
"Oak","2723 S State St","3 - Bad","2 - Medium","No","Street"
"Oak","Fuller Park","2 - Neutral","1 - Short","No","Park"
"Oak","Veterans Memorial Park","2 - Neutral","3 - Tall","Yes","Park"
"Pine","3865 Waldenwood Dr","1 - Good","2 - Medium","No","Street"
"Spruce","2601 Devonshire Rd","2 - Neutral","2 - Medium","No","Street"
"Oak","1501 Broadway St","1 - Good","3 - Tall","Yes","Street"
"Spruce","2992 Winthrop Ct","1 - Good","2 - Medium","No","Street"
"Pine","2768 Holyoke Ln","2 - Neutral","3 - Tall","No","Trail"
"Maple","Olson Park","2 - Neutral","1 - Short","No","Park"
"Pine","1915 Norway Rd","2 - Neutral","2 - Medium","No","Street"
"Honey","1494 Pine Valley Blvd","1 - Good","3 - Tall","No","Street"
"Maple","3481 Yellowstone Dr","2 - Neutral","2 - Medium","No","Street"
"Maple","Gallup Park","3 - Bad","2 - Medium","No","Park"
"Honey","3315 Washtenaw Ave","1 - Good","2 - Medium","No","Trail"
"Maple","1830 Independence Blvd","1 - Good","3 - Tall","Yes","Trail"
"Maple","Ellsworth Park","2 - Neutral","2 - Medium","No","Park"
"Honey","407 Wilder Pl","1 - Good","2 - Medium","No","Trail"
"Maple","Barton Nature Area","1 - Good","2 - Medium","No","Park"
"Oak","Veterans Memorial Park","2 - Neutral","3 - Tall","Yes","Park"
"Oak","Mary Beth Doyle Park","2 - Neutral","1 - Short","No","Park"
"Oak","1081 Arlington Blvd","1 - Good","1 - Short","No","Street"
"Oak","3221 Bluett Dr","1 - Good","3 - Tall","Yes","Street"
"Spruce","432 Huntington Pl","2 - Neutral","2 - Medium","No","Street"
"Honey","211 E Liberty St","2 - Neutral","2 - Medium","No","Street"
"Maple","1527 Stonehaven Rd","1 - Good","1 - Short","No","Trail"
"Pine","Garden Homes Park","2 - Neutral","1 - Short","No","Park"
"Maple","Sugarbush Park","1 - Good","2 - Medium","No","Park"
"Honey","1500 Scio Church Rd","1 - Good","1 - Short","No","Street"
"Maple","Southeast Area Park","1 - Good","2 - Medium","No","Park"
"Maple","Woodbury Park","1 - Good","3 - Tall","No","Park"
"Oak","Hunt Park","2 - Neutral","3 - Tall","Yes","Park"
"Oak","1411 Granger Ave","1 - Good","3 - Tall","No","Street"
"Pine","Sugarbush Park","1 - Good","2 - Medium","No","Park"
"Maple","2664 Lowell Rd","2 - Neutral","3 - Tall","Yes","Street"
"Spruce","Fuller Park","1 - Good","2 - Medium","No","Park"
"Spruce","Veterans Memorial Park","2 - Neutral","2 - Medium","No","Park"
"Maple","415 Montgomery Ave","1 - Good","2 - Medium","No","Street"
"Maple","Longshore Park","2 - Neutral","2 - Medium","No","Park"
"Honey","3001 Plymouth Rd","2 - Neutral","2 - Medium","No","Trail"
"Spruce","2270 Newport Rd","2 - Neutral","3 - Tall","No","Street"
"Oak","Arbor Oaks Park","1 - Good","1 - Short","No","Park"
"Pine","Manchester Park","3 - Bad","3 - Tall","No","Park"
"Oak","225 High Orchard Dr","1 - Good","2 - Medium","No","Street"
"Oak","2260 Miller Ave","2 - Neutral","2 - Medium","No","Street"
"Pine","3311 Alton Ct","2 - Neutral","2 - Medium","No","Street"
"Honey","Hunt Park","2 - Neutral","2 - Medium","No","Park"
"Pine","Baxter Park","2 - Neutral","2 - Medium","No","Park"
"Pine","2805 Overridge Dr","1 - Good","3 - Tall","No","Trail"
"Spruce","1536 Pine Valley Blvd","1 - Good","3 - Tall","No","Street"
"Honey","3735 Varsity Dr","1 - Good","2 - Medium","No","Street"
"Maple","Las Vegas Park","2 - Neutral","1 - Short","No","Park"
"Maple","3012 Sequoia Pkwy","2 - Neutral","2 - Medium","No","Street"
"Pine","Barton Nature Area","2 - Neutral","3 - Tall","No","Park"
"Spruce","Beckley Park","1 - Good","3 - Tall","No","Park"
"Maple","410 E Eisenhower Pkwy","2 - Neutral","1 - Short","No","Street"
"Spruce","2535 Hollywood Dr","1 - Good","1 - Short","No","Street"
"Honey","3335 Whisperwood Dr","2 - Neutral","1 - Short","No","Street"
"Maple","800 Gott St","2 - Neutral","3 - Tall","Yes","Street"
"Pine","2731 Bromley Park","1 - Good","2 - Medium","No","Park"
"Pine","2991 S Foxridge Ct","2 - Neutral","2 - Medium","No","Street"
"Maple","1101 Miner St","3 - Bad","2 - Medium","No","Street"
"Honey","350 S Main St","1 - Good","2 - Medium","No","Street"
"Oak","2606 Pittsfield Blvd","1 - Good","1 - Short","No","Street"
"Maple","2488 Antietam Dr","1 - Good","2 - Medium","No","Street"
"Pine","Gallup Park","2 - Neutral","2 - Medium","No","Park"
"Oak","2501 Fuller Rd","2 - Neutral","1 - Short","No","Street"
"Pine","Allmendinger Park","1 - Good","2 - Medium","No","Park"
"Pine","Buhr Park","2 - Neutral","2 - Medium","No","Park"
"Maple","1656 Hillridge Blvd","1 - Good","1 - Short","No","Street"
"Spruce","3111 Overridge Dr","1 - Good","1 - Short","No","Street"
"Maple","Mary Beth Doyle Park","2 - Neutral","1 - Short","No","Park"
"Maple","2311 Shelby Ave","1 - Good","1 - Short","No","Street"
"Oak","2850 Gladstone Ave","3 - Bad","1 - Short","No","Street"
"Spruce","Fuller Park","1 - Good","2 - Medium","No","Park"
"Maple","Bandemer Park","3 - Bad","2 - Medium","No","Park"
"Pine","Sugarbush Park","2 - Neutral","3 - Tall","No","Park"
"Spruce","Virginia Park","1 - Good","2 - Medium","No","Park"
"Pine","Buhr Park","2 - Neutral","3 - Tall","Yes","Park"
"Oak","2723 S State St","2 - Neutral","1 - Short","No","Street"
"Honey","301 S Main St","1 - Good","2 - Medium","No","Street"
"Pine","300 E Eisenhower Pkwy","3 - Bad","2 - Medium","No","Street"
"Maple","Belize Park","2 - Neutral","2 - Medium","No","Park"
"Pine","Arbor Oaks Park","1 - Good","2 - Medium","No","Park"
"Maple","3055 Oakwood St","1 - Good","2 - Medium","No","Street"
"Maple","Riverside Park","2 - Neutral","2 - Medium","No","Park"
"Pine","Wheeler Park","2 - Neutral","2 - Medium","No","Park"
"Maple","3437 Porter Ave","2 - Neutral","3 - Tall","Yes","Street"
"Maple","1619 Cambridge Rd","2 - Neutral","3 - Tall","Yes","Street"
"Maple","1217 Morningside Dr","1 - Good","3 - Tall","Yes","Street"
"Pine","2111 Belmont Rd","2 - Neutral","2 - Medium","No","Street"
"Honey","4 Englewood Ct","2 - Neutral","2 - Medium","No","Street"
"Spruce","410 E Eisenhower Pkwy","1 - Good","1 - Short","No","Street"
"Maple","1431 Ardmoor Ave","1 - Good","2 - Medium","No","Street"
"Honey","Rose White Park","2 - Neutral","2 - Medium","No","Park"
"Maple","Gallup Park","2 - Neutral","2 - Medium","No","Park"
"Maple","Gallup Park","1 - Good","2 - Medium","No","Park"
"Oak","Leslie Park","1 - Good","3 - Tall","No","Park"
"Maple","1720 Mershon Dr","2 - Neutral","2 - Medium","Yes","Street"
"Spruce","Frisinger Park","2 - Neutral","3 - Tall","No","Park"
"Maple","Barton Nature Area","1 - Good","2 - Medium","No","Park"
"Maple","Argo Nature Area","2 - Neutral","3 - Tall","No","Park"
"Maple","1505 Brooklyn Ave","1 - Good","3 - Tall","Yes","Street"
"Maple","505 E Kingsley St","2 - Neutral","3 - Tall","Yes","Street"
"Maple","West Park","2 - Neutral","3 - Tall","Yes","Park"
"Maple","Leslie Park","1 - Good","1 - Short","No","Park"
"Spruce","1200 Brooks St","2 - Neutral","1 - Short","No","Street"
"Pine","800 S Maple Rd","3 - Bad","1 - Short","No","Street"
"Maple","1406 W Liberty St","1 - Good","2 - Medium","No","Street"
"Maple","2026 Norway Rd","1 - Good","2 - Medium","No","Street"
"Maple","904 Spring St","2 - Neutral","2 - Medium","No","Street"
"Maple","Dolph Nature Area","2 - Neutral","1 - Short","No","Park"
"Pine","1561 Jones Dr","1 - Good","1 - Short","No","Trail"
"Spruce","Baxter Park","2 - Neutral","3 - Tall","No","Park"
"Maple","1329 Wines Dr","2 - Neutral","3 - Tall","Yes","Street"
"Honey","1840 N Maple Rd","1 - Good","2 - Medium","No","Street"
"Maple","1378 King George Blvd","1 - Good","3 - Tall","Yes","Street"
"Honey","530 Miller Ave","1 - Good","2 - Medium","No","Street"
"Maple","2660 S Main St","2 - Neutral","1 - Short","No","Trail"
"Maple","315 Barber Ave","2 - Neutral","1 - Short","No","Street"
"Oak","Mixtwood Ponoma Park","2 - Neutral","3 - Tall","Yes","Park"
"Honey","125 S Main St","2 - Neutral","2 - Medium","No","Street"
"Oak","2100 Winchell Dr","2 - Neutral","1 - Short","No","Street"
"Oak","Garden Homes Park","2 - Neutral","3 - Tall","Yes","Park"
"Maple","3244 N Baylis Dr","2 - Neutral","2 - Medium","Yes","Street"
"Maple","1250 Earhart Rd","2 - Neutral","2 - Medium","No","Street"
"Maple","735 Dellwood Dr","2 - Neutral","1 - Short","No","Trail"
"Maple","700 Mt Vernon Ave","1 - Good","2 - Medium","No","Street"
"Honey","Forsythe Park","1 - Good","3 - Tall","No","Park"
"Maple","Buhr Park","2 - Neutral","2 - Medium","No","Park"
"Pine","3001 S State St","3 - Bad","2 - Medium","No","Street"
"Maple","Turnberry Park","3 - Bad","1 - Short","No","Park"
"Pine","Burr Oak Park","2 - Neutral","2 - Medium","No","Park"
"Honey","Veterans Memorial Park","2 - Neutral","1 - Short","No","Park"
"Maple","Buhr Park","2 - Neutral","2 - Medium","No","Park"
"Honey","301 E Huron St","1 - Good","1 - Short","No","Street"
"Maple","2049 Winsted Blvd","2 - Neutral","2 - Medium","No","Street"
"Honey","303 S Main St","1 - Good","2 - Medium","No","Street"
"Maple","1611 S State St","2 - Neutral","2 - Medium","No","Street"
"Pine","1505 Arlington Blvd","2 - Neutral","2 - Medium","No","Street"
"Maple","2030 Ferdon Rd","1 - Good","2 - Medium","No","Street"
"Honey","2215 Tilsby Ct","1 - Good","2 - Medium","No","Street"
"Oak","Pilgrim Park","1 - Good","2 - Medium","Yes","Park"
"Maple","1514 Ottawa Rd","2 - Neutral","3 - Tall","Yes","Street"
"Spruce","West Park","2 - Neutral","2 - Medium","No","Park"
"Maple","2025 Rugby Ct","2 - Neutral","2 - Medium","No","Street"
"Maple","2875 Parkwood Ave","2 - Neutral","2 - Medium","No","Street"
"Oak","1106 Packard St","2 - Neutral","2 - Medium","No","Street"
"Oak","1790 Plymouth Rd","1 - Good","1 - Short","No","Street"
"Honey","1130 Rosewood St","1 - Good","2 - Medium","No","Street"
"Maple","Gallup Park","1 - Good","2 - Medium","No","Park"
"Maple","405 Eberwhite Blvd","1 - Good","2 - Medium","Yes","Street"
"Maple","1644 Argyle Cres","2 - Neutral","2 - Medium","No","Street"
"Maple","3001 S State St","1 - Good","2 - Medium","No","Street"
"Maple","2671 Parkwood Ave","2 - Neutral","3 - Tall","No","Street"
"Oak","Veterans Memorial Park","2 - Neutral","3 - Tall","Yes","Park"
"Maple","1018 Granger Ave","3 - Bad","3 - Tall","Yes","Street"
"Oak","410 Rose Dr","1 - Good","3 - Tall","Yes","Street"
"Maple","502 Sixth St","1 - Good","2 - Medium","No","Street"
"Maple","Gallup Park","1 - Good","2 - Medium","No","Park"
"Pine","1905 Landmark Ct","2 - Neutral","2 - Medium","No","Street"
"Oak","501 W Eisenhower Pkwy","3 - Bad","1 - Short","No","Street"
"Pine","Leslie Park","1 - Good","3 - Tall","Yes","Park"
"Maple","Mary Beth Doyle Park","1 - Good","1 - Short","No","Park"
"Pine","1501 Brookfield Dr","2 - Neutral","2 - Medium","No","Trail"
"Oak","901 Robin Rd","2 - Neutral","3 - Tall","Yes","Street"
"Maple","1803 Coronada Dr","2 - Neutral","3 - Tall","No","Street"
"Honey","Buhr Park","2 - Neutral","3 - Tall","No","Park"
"Spruce","510 Huntington Dr","2 - Neutral","3 - Tall","No","Street"
"Pine","Sugarbush Park","2 - Neutral","3 - Tall","No","Park"
"Honey","1877 Miller Ave","1 - Good","2 - Medium","No","Street"
"Maple","1520 Avondale Ave","1 - Good","2 - Medium","Yes","Street"
"Maple","2549 Parkwood Ave","2 - Neutral","2 - Medium","Yes","Street"
"Oak","Broadway Park","2 - Neutral","1 - Short","No","Park"
"Honey","3653 Chatham Way","2 - Neutral","2 - Medium","No","Street"
"Maple","2740 Lowell Rd","2 - Neutral","3 - Tall","Yes","Street"
"Oak","1031 Green Rd","1 - Good","3 - Tall","Yes","Street"
"Honey","2153 Foss Ct","1 - Good","2 - Medium","No","Street"
"Maple","1535 Roxbury Rd","1 - Good","2 - Medium","No","Street"
"Maple","2139 Needham Rd","1 - Good","1 - Short","No","Street"
"Maple","3006 Lexington Dr","1 - Good","2 - Medium","No","Street"
"Oak","3545 Packard Rd","2 - Neutral","1 - Short","No","Trail"
"Spruce","2991 Omlesaad Dr","1 - Good","2 - Medium","No","Street"
"Oak","Mary Beth Doyle Park","2 - Neutral","1 - Short","No","Park"
"Spruce","Kelly Park","1 - Good","2 - Medium","No","Park"
"Honey","2305 Platt Rd","2 - Neutral","2 - Medium","No","Street"
"Spruce","581 Huntington Dr","3 - Bad","1 - Short","No","Street"
"Honey","318 S Ashley St","1 - Good","2 - Medium","No","Street"
"Oak","Furstenburg Nature Area","1 - Good","3 - Tall","Yes","Park"
"Oak","Allmendinger Park","3 - Bad","1 - Short","No","Park"
"Maple","1048 W Liberty St","1 - Good","2 - Medium","No","Street"
"Pine","436 Huntington Pl","2 - Neutral","2 - Medium","No","Street"
"Maple","107 Highlake Ave","2 - Neutral","3 - Tall","Yes","Street"
"Maple","1803 Hill St","2 - Neutral","2 - Medium","No","Street"
"Pine","Garden Homes Park","2 - Neutral","1 - Short","No","Park"
"Pine","Southeast Area Park","2 - Neutral","1 - Short","No","Park"
"Maple","2882 Ticknor Ct","1 - Good","2 - Medium","No","Street"
"Maple","2992 Lakeview Dr","2 - Neutral","2 - Medium","Yes","Street"
"Pine","Baxter Park","1 - Good","2 - Medium","No","Park"
"Maple","1720 Avondale Ave","1 - Good","2 - Medium","No","Street"
"Maple","Gallup Park","1 - Good","1 - Short","No","Park"
"Spruce","2805 Dexter Ave","1 - Good","2 - Medium","No","Street"
"Maple","3203 Foxway Ct","2 - Neutral","1 - Short","No","Street"
"Maple","Wheeler Park","2 - Neutral","2 - Medium","No","Park"
"Honey","1908 Waltham Dr","1 - Good","2 - Medium","No","Street"
"Spruce","Burr Oak Park","3 - Bad","2 - Medium","No","Park"
"Honey","521 Lambeth Dr","3 - Bad","1 - Short","No","Street"
"Maple","3125 Boardwalk Dr","2 - Neutral","2 - Medium","No","Street"
"Honey","Buhr Park","2 - Neutral","2 - Medium","No","Park"
"Honey","1300 S State St","2 - Neutral","2 - Medium","No","Street"
"Maple","828 Greene St","2 - Neutral","1 - Short","No","Street"
"Spruce","Burr Oak Park","2 - Neutral","2 - Medium","No","Park"
"Maple","Broadway Park","2 - Neutral","2 - Medium","No","Park"
"Pine","2855 Overridge Dr","2 - Neutral","3 - Tall","No","Street"
"Maple","814 W Liberty St","2 - Neutral","2 - Medium","Yes","Street"
"Oak","Gallup Park","2 - Neutral","3 - Tall","No","Park"
"Maple","1790 Sheridan Dr","1 - Good","3 - Tall","No","Street"
"Maple","Ellsworth Park","1 - Good","2 - Medium","No","Park"
"Pine","Las Vegas Park","2 - Neutral","2 - Medium","No","Park"
"Pine","Creal Park","1 - Good","3 - Tall","Yes","Park"
"Maple","Gallup Park","1 - Good","2 - Medium","No","Park"
"Maple","1601 Peach St","2 - Neutral","2 - Medium","No","Street"
"Maple","Crary Park","2 - Neutral","3 - Tall","Yes","Park"
"Honey","1011 Pine Tree Dr","2 - Neutral","3 - Tall","No","Street"
"Honey","3313 Washtenaw Ave","2 - Neutral","2 - Medium","No","Street"
"Spruce","1707 Broadway St","1 - Good","3 - Tall","Yes","Trail"
"Pine","Fuller Park","1 - Good","2 - Medium","No","Park"
"Honey","Buhr Park","2 - Neutral","3 - Tall","No","Park"
"Maple","Leslie Park","2 - Neutral","1 - Short","No","Park"
"Oak","Veterans Memorial Park","2 - Neutral","1 - Short","No","Park"
"Maple","806 W Liberty St","1 - Good","1 - Short","No","Street"
"Oak","2664 Hampshire Rd","1 - Good","1 - Short","No","Street"
"Pine","Las Vegas Park","2 - Neutral","2 - Medium","No","Park"
"Oak","1505 Morton Ave","1 - Good","2 - Medium","No","Street"
"Honey","3200 Boardwalk Dr","1 - Good","2 - Medium","No","Street"
"Honey","2114 Winchell Dr","1 - Good","2 - Medium","No","Street"
"Pine","1132 Lincoln Ave","1 - Good","1 - Short","No","Street"
"Maple","2950 S State St","2 - Neutral","2 - Medium","No","Street"
"Pine","2501 Glazier Way","1 - Good","2 - Medium","No","Street"
"Maple","800 S Maple Rd","1 - Good","1 - Short","No","Street"
"Oak","2851 Huron Pkwy","3 - Bad","1 - Short","No","Street"
"Maple","848 E University Ave","1 - Good","2 - Medium","No","Street"
"Honey","Fuller Park","3 - Bad","2 - Medium","No","Park"
